seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
20,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.253122838,0.257486658,1,160.6137515,0.050858081,143.5546875,233461.2633
20.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.256308854,0.258466435,1,163.4045561,0.042108603,143.5546875,267979.17
20.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.247510492,0.258404064,1,159.8150883,0.049285827,143.5546875,361884.6733
20.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.220149742,0.249308449,1,148.0994247,0.054243475,143.5546875,360399.65
20.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.215962723,0.255909288,1,147.4617881,0.065467599,143.5546875,272804.205
20.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.212039751,0.251381012,1,147.1527881,0.061495124,143.5546875,293997.42
20.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.218668718,0.252036555,1,151.9729685,0.058202394,143.5546875,269923.86
20.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.216942168,0.244766911,1,152.6433513,0.056263412,143.5546875,240634.5967
20.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.213481599,0.238278839,1,152.0833623,0.052296029,143.5546875,275994.25
20.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.210797905,0.237089844,1,151.9736856,0.053008647,143.5546875,292563.795
21,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0.342817245,0.239115869,0.752941176,103.933821,0.022326329,143.5546875,6148000.267
21.1,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.349518908,0.236693191,0.745098039,104.9583542,0.026837014,143.5546875,1275903.45
21.2,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.354474004,0.228565136,0.749019608,104.6833673,0.025129314,143.5546875,772586.2833
21.3,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.355523469,0.223695264,0.758823529,103.2582463,0.026622428,143.5546875,628403.47
21.4,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.354681718,0.225376399,0.719607843,100.0204186,0.028572661,143.5546875,466365.47
21.5,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.354589258,0.226500772,0.709803922,98.21851127,0.028648067,143.5546875,456061.2933
21.6,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.355520327,0.224355469,0.698039216,98.04018604,0.031693518,143.5546875,440117.58
21.7,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.358729332,0.225282279,0.698039216,99.41598969,0.024141661,120.0639205,518779.16
21.8,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.361560837,0.220345052,0.698039216,102.4047609,0.023376978,117.4538352,608087.95
21.9,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.371617923,0.220155044,0.698039216,110.872587,0.022287579,117.4538352,677002.7
22,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0.37289733,0.223168724,0.703267974,112.6725011,0.020552331,117.4538352,550780.08
22.1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.361844889,0.222182677,0.758823529,107.6655846,0.021563943,117.4538352,574053.825
22.2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.366408308,0.223330118,0.707189542,110.5003986,0.024981115,117.4538352,713212.12
22.3,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.363736295,0.219279514,0.701960784,108.5491482,0.016626865,117.4538352,686621.35
22.4,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.354617063,0.218071952,0.709803922,104.3870719,0.018366569,117.4538352,496863.39
22.5,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.357169077,0.215813079,0.701960784,107.0975491,0.023315887,117.4538352,565888.3333
22.6,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.358735006,0.215666715,0.701960784,109.5228779,0.02596214,117.4538352,675718.88
22.7,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.35682548,0.214685249,0.701960784,111.7262464,0.019937482,117.4538352,593108.48
22.8,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.351684012,0.21334539,0.705882353,108.6474437,0.015702884,117.4538352,556468.52
22.9,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.348078616,0.21324484,0.709803922,105.4797798,0.0214913,117.4538352,466895.44
23,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.348439978,0.218076775,0.724183007,106.0831662,0.023253279,117.4538352,555577.3833
23.1,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.347434875,0.216539593,0.770588235,107.2554365,0.021045544,117.4538352,687776.655
23.2,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.344595649,0.217957176,0.777777778,107.4535417,0.021644775,117.4538352,1193268.967
23.3,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.335311348,0.223606771,0.792156863,103.5766442,0.021785383,117.4538352,2571639
23.4,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.328676266,0.233593509,0.790196078,101.5330454,0.017533862,117.4538352,4884127.5
23.5,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.323907042,0.243496013,0.806535948,101.4201643,0.018827389,117.4538352,3950599.667
23.6,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.30763061,0.230283324,0.776470588,100.2251851,0.01955149,117.4538352,4645586.25
23.7,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0.294587585,0.222762346,0.797385621,103.8241962,0.027085486,117.4538352,1437813.44
23.8,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.301736677,0.229146653,0.715686275,108.7997327,0.065396103,117.4538352,942318.93
23.9,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.311428739,0.222224151,0.690196078,114.9266056,0.028594151,117.4538352,971009.595
24,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.320001519,0.221316712,0.682352941,117.636351,0.02145396,117.4538352,1691595.767
24.1,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.320157064,0.217669512,0.690196078,115.1792214,0.015609112,117.4538352,563870.23
24.2,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.320787276,0.217021926,0.726797386,116.2141765,0.015177772,117.4538352,567959.7733
24.3,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.32231942,0.221189718,0.768627451,118.2235914,0.020330364,117.4538352,600386.63
24.4,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.312169214,0.227047888,0.611764706,110.1620665,0.023409034,117.4538352,831290.3
24.5,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.288689921,0.235724344,0.786928105,95.60859536,0.026063348,117.4538352,1259344.267
24.6,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0.27605354,0.244129533,0.811764706,93.62207497,0.024837561,117.4538352,1680099.4
24.7,1.5,0,0,1.5,0,0,0,0,1,1,2,1,0,0,0.273899423,0.248934542,0.807843137,101.5362815,0.026080633,117.4538352,1804339.133
24.8,1.5,0,0,1.5,0,0,0,0,1,1,2,1,0,0,0.270355825,0.245049672,0.807843137,105.2988024,0.031703614,117.4538352,1826207.05
24.9,1.5,0,0,2.5,0,0,0,0,1,1,2,1,0,0,0.264981446,0.242927276,0.807843137,105.079015,0.059684563,117.4538352,1882275.8
25,1.5,0,0,3,0,0,0,0,1,1,2,1,0,0,0.271464017,0.232415445,0.814379085,115.4913174,0.063822077,117.4538352,2578597.833
25.1,1.5,0,0,3,0,0,0,0,1,1,2,1,0,0,0.273843355,0.222772714,0.843137255,119.530117,0.03419718,117.4538352,2249312.1
25.2,1.5,0,0,3,0,0,0,1,1,1,1,1,0,0,0.246258311,0.234800347,0.935947712,190.1274707,0.036788093,117.4538352,4447755.5
25.3,1.5,0,0,2,0,0,0,1,1,1,1,1,0,0,0.248659198,0.238726128,0.87254902,186.3307673,0.0321863,117.4538352,988176.375
25.4,1.5,0,0,2,0,0,0,1,1,1,1,1,0,0,0.247839205,0.243913002,0.970588235,184.0174647,0.03503529,117.4538352,780470.62
25.5,1.5,0,0,2,0,0,0,1,1,1,1,1,0,0,0.247340192,0.241183931,0.91503268,180.8774331,0.038890574,117.4538352,585976.4
25.6,1.5,0,0,1.5,0,0,0,1,1,1,1,1,0,0,0.240171563,0.237123601,0.939215686,175.0350271,0.03031421,117.4538352,510737.565
25.7,1.5,1,0,1.5,0,0,0,1,1,1,1,1,0,0,0.239769535,0.234729456,0.935947712,173.1105903,0.023570124,117.4538352,392540.5867
25.8,1.5,1,0,1.5,0,0,0,1,1,1,1,1,0,0,0.244750953,0.236680411,0.921568627,174.494348,0.020957026,117.4538352,375726.37
25.9,1.5,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.251920343,0.245948833,0.903921569,176.6632269,0.032445291,117.4538352,499886.11
26,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.270623812,0.250731578,0.928104575,187.1652744,0.037884689,117.4538352,561151.9533
26.1,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.310762747,0.267674817,0.960784314,207.0395446,0.032721203,117.4538352,654090.58
26.2,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.319762717,0.259403614,0.904575163,211.10819,0.03120212,117.4538352,798250.5533
26.3,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.289158333,0.251583719,0.952941176,201.4216415,0.035960011,117.4538352,769646.975
26.4,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.299361469,0.255688657,0.858823529,205.3841509,0.026481751,117.4538352,770574.35
26.5,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.307966399,0.25330488,0.951633987,210.4372641,0.034163099,117.4538352,837720.15
26.6,1,1,0,0.5,0,0,0,1,1,1,1,1,0,0,0.273778178,0.24189863,0.988235294,201.3475016,0.035066966,117.4538352,619702.75
